date,coin_id,price_usd,daily_active_addresses,transaction_volume,marketcap_usd,whale_trans_count_100k,whale_trans_volume_100k,whale_trans_count_1m,whale_trans_volume_1m
2024-06-09,ethereum,3705.903804424987,454422.0,836506.3640465396,445269327129.0,4909.0,1755111054.7476532,282.0,847464764.6457537
2024-06-10,ethereum,3665.650569119376,461435.0,1617235.0137058226,440443193976.0,7330.0,4488727907.036386,766.0,2997663209.2991896
2024-06-11,ethereum,3499.402820773278,467117.0,2883169.931027708,420473211804.0,11354.0,8600500603.773733,1167.0,6350697108.673512
2024-06-12,ethereum,3559.779400770198,498176.0,1940170.7858849517,427722807220.0,9180.0,5472210241.95912,821.0,3607679002.612172
2024-06-13,ethereum,3468.496839801289,498743.0,1957089.257033006,416748878541.0,10405.0,5385285275.190289,826.0,3445223499.9077206
2024-06-14,ethereum,3480.061640571869,485863.0,1776582.1075352223,418133282161.0,7732.0,4857423948.972986,799.0,3319087589.281382
2024-06-15,ethereum,3564.521609906039,504862.0,1003117.8897052896,428295328719.0,5245.0,2527239748.7368126,455.0,1468181710.793773
2024-06-16,ethereum,3620.229945202785,498616.0,901755.3787685249,434987224571.0,6380.0,2266004517.608659,290.0,1160919228.2184722
2024-06-17,ethereum,3513.263978311773,469442.0,2253751.441795464,422151213760.0,9825.0,6694377133.491311,1005.0,4920912175.8867655
2024-06-18,ethereum,3483.681354159741,453276.0,2078279.6573873581,425974076071.0,8164.0,5655013306.56601,946.0,3929517975.1953235
2024-06-19,ethereum,3559.347309585332,470154.0,1920566.6669138423,435222804701.0,9946.0,5515497024.366945,988.0,3686253221.025601
2024-06-20,ethereum,3511.086923363354,468882.0,1921954.068820237,429318923899.0,9636.0,5560205353.551559,982.0,3758691571.3081074
2024-06-21,ethereum,3516.359490870366,617172.0,1751504.710760146,429968934554.0,7805.0,4965300124.0705,978.0,3383068986.018909
2024-06-22,ethereum,3495.242862849047,731114.0,1046008.746327982,427385075408.0,6319.0,2794326616.91475,525.0,1665576190.8635817
2024-06-23,ethereum,3418.61187725909,497234.0,1233415.1592070095,418014043659.0,6555.0,3404898016.720841,658.0,2176933656.5976124
2024-06-24,ethereum,3351.709324209704,510116.0,2537047.2067582025,402723585337.0,9995.0,7231182888.411245,1471.0,5241496979.6500025
2024-06-25,ethereum,3395.130771228218,535997.0,2278122.4020848977,408016293807.0,13747.0,6544254562.420791,1065.0,4319263609.082206
2024-06-26,ethereum,3369.343543016315,582750.0,2124171.056316688,404924299625.0,10859.0,6049020841.735182,953.0,4025444405.215944
2024-06-27,ethereum,3444.704066140222,502943.0,2620196.5244843527,413987549595.0,11462.0,7676495437.599599,1342.0,5427275124.937004
2024-06-28,ethereum,3373.493077068299,510371.0,2414707.604086717,405435526852.0,8470.0,7091532946.116231,1265.0,5323944258.397912
2024-06-29,ethereum,3371.600178972021,558515.0,988062.8735424554,405214818944.0,4452.0,2493471804.2087755,551.0,1570892637.3336797
2024-06-30,ethereum,3434.97454620622,483321.0,1351530.9967567427,412839691084.0,4731.0,3696040229.4689875,509.0,2746206851.5230002
2024-07-01,ethereum,3440.967485706884,470938.0,2066720.897318086,413567625712.0,9709.0,6050060518.346002,871.0,4215513134.815301
2024-07-02,ethereum,3416.354727894928,467314.0,1899980.03770926,410616537782.0,7195.0,5463699644.772919,894.0,4046270263.859203
2024-07-03,ethereum,3292.916787207929,450179.0,2507627.523989543,395787129292.0,10972.0,7100619200.820476,1093.0,4954317171.578943
2024-07-04,ethereum,3054.521964484979,525874.0,2402956.441930844,367138683984.0,12228.0,6227780726.643474,935.0,4013905852.9818892
2024-07-05,ethereum,2981.598696351671,514790.0,3339378.138532154,358378765284.0,8600.0,8232613014.782543,1469.0,6018332903.349741
2024-07-06,ethereum,3068.299674815055,514570.0,1133461.8974487835,368804626680.0,3359.0,2523518898.1401405,534.0,1711316095.1201584
2024-07-07,ethereum,2929.387231671462,434039.0,1130180.9006574503,352114562457.0,2997.0,2504031513.003628,423.0,1790842583.189053
2024-07-08,ethereum,3018.732032316185,474767.0,2112109.9369035885,362860880689.0,5569.0,4997228221.353519,1064.0,3652869170.1003118
2024-07-09,ethereum,3063.142660249912,477398.0,2129347.3259278457,368205663212.0,5313.0,5261394366.587421,1021.0,3941831358.9716287
